,R,P,V,I,D,T,pol,dush
30,актера,актере,актера,актер,актеру,актером,М,1.0
31,актива,активе,актив,актив,активу,активом,М,0.0
32,активности,активности,активность,активность,активности,активностью,Ж,0.0
33,акцента,акценте,акцент,акцент,акценту,акцентом,М,0.0
34,акции,акции,акцию,акция,акции,акцией,Ж,0.0
35,алгоритма,алгоритме,алгоритм,алгоритм,алгоритму,алгоритмом,М,0.0
36,алкоголя,алкоголе,алкоголь,алкоголь,алкоголю,алкоголем,М,0.0
37,аллаха,аллахе,аллаха,аллах,аллаху,аллахом,М,1.0
38,аллергии,аллергии,аллергию,аллергия,аллергии,аллергией,Ж,0.0
39,аллеи,аллее,аллею,аллея,аллее,аллеей,Ж,0.0
40,алмаза,алмазе,алмаз,алмаз,алмазу,алмазом,М,0.0
41,алтаря,алтаре,алтарь,алтарь,алтарю,алтарем,М,0.0
42,алфавита,алфавите,алфавит,алфавит,алфавиту,алфавитом,М,0.0
43,альбома,альбоме,альбом,альбом,альбому,альбомом,М,0.0
44,альянса,альянсе,альянс,альянс,альянсу,альянсом,М,0.0
45,амбиции,амбиции,амбицию,амбиция,амбиции,амбицией,Ж,0.0
46,американца,американце,американца,американец,американцу,американцем,М,1.0
47,анализа,анализе,анализ,анализ,анализу,анализом,М,0.0
48,аналитика,аналитике,аналитика,аналитик,аналитику,аналитиком,М,1.0
49,аналога,аналоге,аналог,аналог,аналогу,аналогом,М,0.0
50,аналогии,аналогии,аналогию,аналогия,аналогии,аналогией,Ж,0.0
51,ангела,ангеле,ангела,ангел,ангелу,ангелом,М,1.0
52,англичанина,англичанине,англичанина,англичанин,англичанину,англичанином,М,1.0
53,анекдота,анекдоте,анекдот,анекдот,анекдоту,анекдотом,М,0.0
54,ансамбля,ансамбле,ансамбль,ансамбль,ансамблю,ансамблем,М,0.0
55,апельсина,апельсине,апельсин,апельсин,апельсину,апельсином,М,0.0
56,аппарата,аппарате,аппарат,аппарат,аппарату,аппаратом,М,0.0
57,аппетита,аппетите,аппетит,аппетит,аппетиту,аппетитом,М,0.0
58,апреля,апреле,апрель,апрель,апрелю,апрелем,М,0.0
59,арбуза,арбузе,арбуз,арбуз,арбузу,арбузом,М,0.0
60,аргумента,аргументе,аргумент,аргумент,аргументу,аргументом,М,0.0
61,ареста,аресте,арест,арест,аресту,арестом,М,0.0
62,армии,армии,армию,армия,армии,армией,Ж,0.0
63,аромата,аромате,аромат,аромат,аромату,ароматом,М,0.0
64,арсенала,арсенале,арсенал,арсенал,арсеналу,арсеналом,М,0.0
65,артиллерии,артиллерии,артиллерию,артиллерия,артиллерии,артиллерией,Ж,0.0
66,артиста,артисте,артиста,артист,артисту,артистом,М,1.0
67,архива,архиве,архив,архив,архиву,архивом,М,0.0
68,архитектора,архитекторе,архитектора,архитектор,архитектору,архитектором,М,1.0
69,аса,асе,аса,ас,асу,асом,М,1.0
70,аспекта,аспекте,аспект,аспект,аспекту,аспектом,М,0.0
71,ассортимента,ассортименте,ассортимент,ассортимент,ассортименту,ассортиментом,М,0.0
72,ассоциации,ассоциации,ассоциацию,ассоциация,ассоциации,ассоциацией,Ж,0.0
73,асфальта,асфальте,асфальт,асфальт,асфальту,асфальтом,М,0.0
74,атома,атоме,атом,атом,атому,атомом,М,0.0
75,атрибута,атрибуте,атрибут,атрибут,атрибуту,атрибутом,М,0.0
76,аудитории,аудитории,аудиторию,аудитория,аудитории,аудиторией,Ж,0.0
77,аукциона,аукционе,аукцион,аукцион,аукциону,аукционом,М,0.0
78,аэродрома,аэродроме,аэродром,аэродром,аэродрому,аэродромом,М,0.0
79,багажа,багаже,багаж,багаж,багажу,багажом,М,0.0
80,багажника,багажнике,багажник,багажник,багажнику,багажником,М,0.0
81,базара,базаре,базар,базар,базару,базаром,М,0.0
82,бака,баке,бак,бак,баку,баком,М,0.0
83,баланса,балансе,баланс,баланс,балансу,балансом,М,0.0
84,балета,балете,балет,балет,балету,балетом,М,0.0
85,балкона,балконе,балкон,балкон,балкону,балконом,М,0.0
86,балла,балле,балл,балл,баллу,баллом,М,0.0
87,банана,банане,банан,банан,банану,бананом,М,0.0
88,бандита,бандите,бандита,бандит,бандиту,бандитом,М,1.0
89,банка,банке,банк,банк,банку,банком,М,0.0
90,банкира,банкире,банкира,банкир,банкиру,банкиром,М,1.0
91,банкротства,банкротстве,банкротство,банкротство,банкротству,банкротством,ср,0.0
92,бара,баре,бар,бар,бару,баром,М,0.0
93,барабана,барабане,барабан,барабан,барабану,барабаном,М,0.0
94,барака,бараке,барак,барак,бараку,бараком,М,0.0
95,барана,баране,барана,баран,барану,бараном,М,1.0
96,барина,барине,барина,барин,барину,барином,М,1.0
97,барона,бароне,барона,барон,барону,бароном,М,1.0
98,барышни,барышне,барышню,барышня,барышне,барышней,Ж,1.0
99,барьера,барьере,барьер,барьер,барьеру,барьером,М,0.0
100,бассейна,бассейне,бассейн,бассейн,бассейну,бассейном,М,0.0
101,батальона,батальоне,батальон,батальон,батальону,батальоном,М,0.0
102,батареи,батарее,батарею,батарея,батарее,батареей,Ж,0.0
103,башни,башне,башню,башня,башне,башней,Ж,0.0
104,бегства,бегстве,бегство,бегство,бегству,бегством,ср,0.0
105,бедности,бедности,бедность,бедность,бедности,бедностью,Ж,0.0
106,бедра,бедре,бедро,бедро,бедру,бедром,ср,0.0
107,бедствия,бедствии,бедствие,бедствие,бедствию,бедствием,ср,0.0
108,безобразия,безобразии,безобразие,безобразие,безобразию,безобразием,ср,0.0
109,безопасности,безопасности,безопасность,безопасность,безопасности,безопасностью,Ж,0.0
110,безумия,безумии,безумие,безумие,безумию,безумием,ср,0.0
111,белка,белке,белок,белок,белку,белком,М,0.0
112,белья,белье,белье,белье,белью,бельем,ср,0.0
113,бензина,бензине,бензин,бензин,бензину,бензином,М,0.0
114,берегового,береговом,берегового,береговой,береговому,береговым,М,1.0
115,беременности,беременности,беременность,беременность,беременности,беременностью,Ж,0.0
116,берлина,берлине,берлин,берлин,берлину,берлином,М,0.0
117,беса,бесе,беса,бес,бесу,бесом,М,1.0
118,бесконечности,бесконечности,бесконечность,бесконечность,бесконечности,бесконечностью,Ж,0.0
119,беспокойства,беспокойстве,беспокойство,беспокойство,беспокойству,беспокойством,ср,0.0
120,беспорядка,беспорядке,беспорядок,беспорядок,беспорядку,беспорядком,М,0.0
121,бессмертия,бессмертии,бессмертие,бессмертие,бессмертию,бессмертием,ср,0.0
122,бешенства,бешенстве,бешенство,бешенство,бешенству,бешенством,ср,0.0
123,библии,библии,библию,библия,библии,библией,Ж,0.0
124,бизнеса,бизнесе,бизнес,бизнес,бизнесу,бизнесом,М,0.0
125,бизнесмена,бизнесмене,бизнесмена,бизнесмен,бизнесмену,бизнесменом,М,1.0
126,билета,билете,билет,билет,билету,билетом,М,0.0
127,бинокля,бинокле,бинокль,бинокль,биноклю,биноклем,М,0.0
128,биографии,биографии,биографию,биография,биографии,биографией,Ж,0.0
129,биологии,биологии,биологию,биология,биологии,биологией,Ж,0.0
130,бита,бите,бит,бит,биту,битом,М,0.0
131,блага,благе,благо,благо,благу,благом,ср,0.0
132,благодарности,благодарности,благодарность,благодарность,благодарности,благодарностью,Ж,0.0
133,благодати,благодати,благодать,благодать,благодати,благодатью,Ж,0.0
134,благополучия,благополучии,благополучие,благополучие,благополучию,благополучием,ср,0.0
135,благословения,благословении,благословение,благословение,благословению,благословением,ср,0.0
136,благосостояния,благосостоянии,благосостояние,благосостояние,благосостоянию,благосостоянием,ср,0.0
137,блаженства,блаженстве,блаженство,блаженство,блаженству,блаженством,ср,0.0
138,бланка,бланке,бланк,бланк,бланку,бланком,М,0.0
139,блеска,блеске,блеск,блеск,блеску,блеском,М,0.0
140,ближнего,ближнем,ближнего,ближний,ближнему,ближним,М,1.0
141,близости,близости,близость,близость,близости,близостью,Ж,0.0
142,блока,блоке,блок,блок,блоку,блоком,М,0.0
143,блокнота,блокноте,блокнот,блокнот,блокноту,блокнотом,М,0.0
144,блюда,блюде,блюдо,блюдо,блюду,блюдом,ср,0.0
145,боба,бобе,боб,боб,бобу,бобом,М,0.0
146,богатства,богатстве,богатство,богатство,богатству,богатством,ср,0.0
147,богатыря,богатыре,богатыря,богатырь,богатырю,богатырем,М,1.0
148,бойца,бойце,бойца,боец,бойцу,бойцом,М,1.0
149,божества,божестве,божество,божество,божеству,божеством,ср,1.0
150,боя,бое,боя,бой,бою,боем,М,1.0
151,бокала,бокале,бокал,бокал,бокалу,бокалом,М,0.0
152,бокса,боксе,бокс,бокс,боксу,боксом,М,0.0
153,болезни,болезни,болезнь,болезнь,болезни,болезнью,Ж,0.0
154,болота,болоте,болото,болото,болоту,болотом,ср,0.0
155,боли,боли,боль,боль,боли,болью,Ж,0.0
156,больничного,больничном,больничный,больничный,больничному,больничным,М,0.0
157,большевика,большевике,большевика,большевик,большевику,большевиком,М,1.0
158,большинства,большинстве,большинство,большинство,большинству,большинством,ср,0.0
159,большого,большом,большого,большой,большому,большим,М,1.0
160,бомбардировщика,бомбардировщике,бомбардировщик,бомбардировщик,бомбардировщику,бомбардировщиком,М,0.0
161,босса,боссе,босса,босс,боссу,боссом,М,1.0
162,ботинка,ботинке,ботинок,ботинок,ботинку,ботинком,М,0.0
163,боязни,боязни,боязнь,боязнь,боязни,боязнью,Ж,0.0
164,боярина,боярине,боярина,боярин,боярину,боярином,М,1.0
165,брака,браке,брак,брак,браку,браком,М,0.0
166,брака,браке,брак,брак,браку,браком,М,0.0
167,браслета,браслете,браслет,браслет,браслету,браслетом,М,0.0
168,брата,брате,брата,брат,брату,братом,М,1.0
169,братца,братце,братца,братец,братцу,братцем,М,1.0
170,братства,братстве,братство,братство,братству,братством,ср,0.0
171,бревна,бревне,бревно,бревно,бревну,бревном,ср,0.0
172,бреда,бреде,бред,бред,бреду,бредом,М,0.0
173,бремени,бремени,бремя,бремя,бремени,бременем,ср,0.0
174,бриллианта,бриллианте,бриллиант,бриллиант,бриллианту,бриллиантом,М,0.0
175,брюха,брюхе,брюхо,брюхо,брюху,брюхом,ср,0.0
176,будильника,будильнике,будильник,будильник,будильнику,будильником,М,0.0
177,будущего,будущем,будущее,будущее,будущему,будущим,ср,0.0
178,букета,букете,букет,букет,букету,букетом,М,0.0
179,бульвара,бульваре,бульвар,бульвар,бульвару,бульваром,М,0.0
180,бума,буме,бум,бум,буму,бумом,М,0.0
181,бунта,бунте,бунт,бунт,бунту,бунтом,М,0.0
182,буржуазии,буржуазии,буржуазию,буржуазия,буржуазии,буржуазией,Ж,0.0
183,бутерброда,бутерброде,бутерброд,бутерброд,бутерброду,бутербродом,М,0.0
184,буфета,буфете,буфет,буфет,буфету,буфетом,М,0.0
185,бухгалтерии,бухгалтерии,бухгалтерию,бухгалтерия,бухгалтерии,бухгалтерией,Ж,0.0
186,бытия,бытии,бытие,бытие,бытию,бытием,ср,0.0
187,бюджета,бюджете,бюджет,бюджет,бюджету,бюджетом,М,0.0
188,бюллетеня,бюллетене,бюллетень,бюллетень,бюллетеню,бюллетенем,М,0.0
189,бюрократии,бюрократии,бюрократию,бюрократия,бюрократии,бюрократией,Ж,0.0
190,вагона,вагоне,вагон,вагон,вагону,вагоном,М,0.0
191,важности,важности,важность,важность,важности,важностью,Ж,0.0
192,вампира,вампире,вампира,вампир,вампиру,вампиром,М,1.0
193,варвара,варваре,варвара,варвар,варвару,варваром,М,1.0
194,варенья,варенье,варенье,варенье,варенью,вареньем,ср,0.0
195,варианта,варианте,вариант,вариант,варианту,вариантом,М,0.0
196,вариации,вариации,вариацию,вариация,вариации,вариацией,Ж,0.0
197,вашего,вашем,вашего,ваш,вашему,вашим,М,1.0
198,введения,введении,введение,введение,введению,введением,ср,0.0
199,ввода,вводе,ввод,ввод,вводу,вводом,М,0.0
200,вдохновения,вдохновении,вдохновение,вдохновение,вдохновению,вдохновением,ср,0.0
201,ведения,ведении,ведение,ведение,ведению,ведением,ср,0.0
202,ведения,ведении,ведение,ведение,ведению,ведением,ср,0.0
203,ведомости,ведомости,ведомость,ведомость,ведомости,ведомостью,Ж,0.0
204,ведомства,ведомстве,ведомство,ведомство,ведомству,ведомством,ср,0.0
205,ведра,ведре,ведро,ведро,ведру,ведром,ср,0.0
206,вежливости,вежливости,вежливость,вежливость,вежливости,вежливостью,Ж,0.0
207,века,веке,веко,веко,веку,веком,ср,0.0
208,вектора,векторе,вектор,вектор,вектору,вектором,М,0.0
209,великого,великом,великого,великий,великому,великим,М,1.0
210,величества,величестве,величество,величество,величеству,величеством,ср,0.0
211,величия,величии,величие,величие,величию,величием,ср,0.0
212,велосипеда,велосипеде,велосипед,велосипед,велосипеду,велосипедом,М,0.0
213,венца,венце,венца,венец,венцу,венцем,М,1.0
214,венца,венце,венец,венец,венцу,венцом,М,0.0
215,венка,венке,венок,венок,венку,венком,М,0.0
216,верблюда,верблюде,верблюда,верблюд,верблюду,верблюдом,М,1.0
217,верности,верности,верность,верность,верности,верностью,Ж,0.0
218,вероятности,вероятности,вероятность,вероятность,вероятности,вероятностью,Ж,0.0
219,версии,версии,версию,версия,версии,версией,Ж,0.0
220,вертикали,вертикали,вертикаль,вертикаль,вертикали,вертикалью,Ж,0.0
221,вертолета,вертолете,вертолет,вертолет,вертолету,вертолетом,М,0.0
222,веселья,веселье,веселье,веселье,веселью,весельем,ср,0.0
223,весла,весле,весло,весло,веслу,веслом,ср,0.0
224,вестника,вестнике,вестника,вестник,вестнику,вестником,М,1.0
225,вести,вести,весть,весть,вести,вестью,Ж,0.0
226,ветви,ветви,ветвь,ветвь,ветви,ветвью,Ж,0.0
227,ветерка,ветерке,ветерок,ветерок,ветерку,ветерком,М,0.0
228,вечера,вечере,вечер,вечер,вечеру,вечером,М,0.0
229,вечности,вечности,вечность,вечность,вечности,вечностью,Ж,0.0
230,вещества,веществе,вещество,вещество,веществу,веществом,ср,0.0
231,вещи,вещи,вещь,вещь,вещи,вещью,Ж,0.0
232,взаимодействия,взаимодействии,взаимодействие,взаимодействие,взаимодействию,взаимодействием,ср,0.0
233,взаимопонимания,взаимопонимании,взаимопонимание,взаимопонимание,взаимопониманию,взаимопониманием,ср,0.0
234,взаимосвязи,взаимосвязи,взаимосвязь,взаимосвязь,взаимосвязи,взаимосвязью,Ж,0.0
235,взвода,взводе,взвод,взвод,взводу,взводом,М,0.0
236,взгляда,взгляде,взгляд,взгляд,взгляду,взглядом,М,0.0
237,вздоха,вздохе,вздох,вздох,вздоху,вздохом,М,0.0
238,взлета,взлете,взлет,взлет,взлету,взлетом,М,0.0
239,взора,взоре,взор,взор,взору,взором,М,0.0
240,взрыва,взрыве,взрыв,взрыв,взрыву,взрывом,М,0.0
241,взятия,взятии,взятие,взятие,взятию,взятием,ср,0.0
242,вибрации,вибрации,вибрацию,вибрация,вибрации,вибрацией,Ж,0.0
243,видения,видении,видение,видение,видению,видением,ср,0.0
244,видимости,видимости,видимость,видимость,видимости,видимостью,Ж,0.0
245,визга,визге,визг,визг,визгу,визгом,М,0.0
246,визита,визите,визит,визит,визиту,визитом,М,0.0
247,виктории,виктории,викторию,виктория,виктории,викторией,Ж,0.0
248,вина,вине,вино,вино,вину,вином,ср,0.0
249,виновника,виновнике,виновника,виновник,виновнику,виновником,М,1.0
250,винограда,винограде,виноград,виноград,винограду,виноградом,М,0.0
251,винта,винте,винт,винт,винту,винтом,М,0.0
252,виска,виске,висок,висок,виску,виском,М,0.0
253,витамина,витамине,витамин,витамин,витамину,витамином,М,0.0
254,вихря,вихре,вихрь,вихрь,вихрю,вихрем,М,0.0
255,вклада,вкладе,вклад,вклад,вкладу,вкладом,М,0.0
256,включения,включении,включение,включение,включению,включением,ср,0.0
257,вкуса,вкусе,вкус,вкус,вкусу,вкусом,М,0.0
258,влагалища,влагалище,влагалище,влагалище,влагалищу,влагалищем,ср,0.0
259,владельца,владельце,владельца,владелец,владельцу,владельцем,М,1.0
260,владения,владении,владение,владение,владению,владением,ср,0.0
261,власти,власти,власть,власть,власти,властью,Ж,0.0
262,влечения,влечении,влечение,влечение,влечению,влечением,ср,0.0
263,влияния,влиянии,влияние,влияние,влиянию,влиянием,ср,0.0
264,вложения,вложение,вложение,вложение,вложению,вложением,ср,0.0
265,вмешательства,вмешательстве,вмешательство,вмешательство,вмешательству,вмешательством,ср,0.0
266,внедрения,внедрении,внедрение,внедрение,внедрению,внедрением,ср,0.0
267,внесения,внесении,внесение,внесение,внесению,внесением,ср,0.0
268,внешности,внешности,внешность,внешность,внешности,внешностью,Ж,0.0
269,внимания,внимании,внимание,внимание,вниманию,вниманием,ср,0.0
270,внушения,внушении,внушение,внушение,внушению,внушением,ср,0.0
271,водителя,водителе,водителя,водитель,водителю,водителем,М,1.0
272,водопада,водопаде,водопад,водопад,водопаду,водопадом,М,0.0
273,водяного,водяном,водяного,водяной,водяному,водяным,М,1.0
274,военного,военном,военного,военный,военному,военным,М,1.0
275,вождя,вожде,вождя,вождь,вождю,вождем,М,1.0
276,возбуждения,возбуждении,возбуждение,возбуждение,возбуждению,возбуждением,ср,0.0
277,возврата,возврате,возврат,возврат,возврату,возвратом,М,0.0
278,возвращения,возвращении,возвращение,возвращение,возвращению,возвращением,ср,0.0
279,возгласа,возгласе,возглас,возглас,возгласу,возгласом,М,0.0
280,воздействия,воздействии,воздействие,воздействие,воздействию,воздействием,ср,0.0
281,воздуха,воздухе,воздух,воздух,воздуху,воздухом,М,0.0
282,возмещения,возмещении,возмещение,возмещение,возмещению,возмещением,ср,0.0
283,возможности,возможности,возможность,возможность,возможности,возможностью,Ж,0.0
284,возмущения,возмущении,возмущение,возмущение,возмущению,возмущением,ср,0.0
285,вознаграждения,вознаграждении,вознаграждение,вознаграждение,вознаграждению,вознаграждением,ср,0.0
286,возникновения,возникновении,возникновение,возникновение,возникновению,возникновением,ср,0.0
287,возражения,возражении,возражение,возражение,возражению,возражением,ср,0.0
288,возраста,возрасте,возраст,возраст,возрасту,возрастом,М,0.0
289,возрождения,возрождении,возрождение,возрождение,возрождению,возрождением,ср,0.0
290,воина,воине,воина,воин,воину,воином,М,1.0
291,воя,вое,вой,вой,вою,воем,М,0.0
292,войска,войске,войско,войско,войску,войском,ср,0.0
293,вокзала,вокзале,вокзал,вокзал,вокзалу,вокзалом,М,0.0
294,волка,волке,волка,волк,волку,волком,М,1.0
295,волнения,волнении,волнение,волнение,волнению,волнением,ср,0.0
296,волоса,волосе,волос,волос,волосу,волосом,М,0.0
297,волшебника,волшебнике,волшебника,волшебник,волшебнику,волшебником,М,1.0
298,воображения,воображении,воображение,воображение,воображению,воображением,ср,0.0
299,вооружения,вооружении,вооружение,вооружение,вооружению,вооружением,ср,0.0
300,воплощения,воплощении,воплощение,воплощение,воплощению,воплощением,ср,0.0
301,вопля,вопле,вопль,вопль,воплю,воплем,М,0.0
302,вопроса,вопросе,вопрос,вопрос,вопросу,вопросом,М,0.0
303,вора,воре,вора,вор,вору,вором,М,1.0
304,воровства,воровстве,воровство,воровство,воровству,воровством,ср,0.0
305,ворона,вороне,ворона,ворон,ворону,вороном,М,1.0
306,воротника,воротнике,воротник,воротник,воротнику,воротником,М,0.0
307,воскресенья,воскресенье,воскресенье,воскресенье,воскресенью,воскресеньем,ср,0.0
308,воспаления,воспалении,воспаление,воспаление,воспалению,воспалением,ср,0.0
309,воспитания,воспитании,воспитание,воспитание,воспитанию,воспитанием,ср,0.0
310,воспитанника,воспитаннике,воспитанника,воспитанник,воспитаннику,воспитанником,М,1.0
311,воспоминания,воспоминании,воспоминание,воспоминание,воспоминанию,воспоминанием,ср,0.0
312,восприятия,восприятии,восприятие,восприятие,восприятию,восприятием,ср,0.0
313,воспроизведения,воспроизведении,воспроизведение,воспроизведение,воспроизведению,воспроизведением,ср,0.0
314,воспроизводства,воспроизводстве,воспроизводство,воспроизводство,воспроизводству,воспроизводством,ср,0.0
315,восстания,восстании,восстание,восстание,восстанию,восстанием,ср,0.0
316,восстановления,восстановлении,восстановление,восстановление,восстановлению,восстановлением,ср,0.0
317,востока,востоке,восток,восток,востоку,востоком,М,0.0
318,восторга,восторге,восторг,восторг,восторгу,восторгом,М,0.0
319,восхищения,восхищении,восхищение,восхищение,восхищению,восхищением,ср,0.0
320,восхода,восходе,восход,восход,восходу,восходом,М,0.0
321,восхождения,восхождении,восхождение,восхождение,восхождению,восхождением,ср,0.0
322,впечатления,впечатлении,впечатление,впечатление,впечатлению,впечатлением,ср,0.0
323,врага,враге,врага,враг,врагу,врагом,М,1.0
324,вращения,вращении,вращение,вращение,вращению,вращением,ср,0.0
325,вреда,вреде,вред,вред,вреду,вредом,М,0.0
326,времени,времени,время,время,времени,временем,ср,0.0
327,всадника,всаднике,всадника,всадник,всаднику,всадником,М,1.0
328,всевышнего,всевышнем,всевышнего,всевышний,всевышнему,всевышним,М,1.0
329,всплеска,всплеске,всплеск,всплеск,всплеску,всплеском,М,0.0
330,вступления,вступлении,вступление,вступление,вступлению,вступлением,ср,0.0
331,вторжения,вторжении,вторжение,вторжение,вторжению,вторжением,ср,0.0
332,вулкана,вулкане,вулкан,вулкан,вулкану,вулканом,М,0.0
333,входа,входе,вход,вход,входу,входом,М,0.0
334,въезда,въезде,въезд,въезд,въезду,въездом,М,0.0
335,выбора,выборе,выбор,выбор,выбору,выбором,М,0.0
336,вывода,выводе,вывод,вывод,выводу,выводом,М,0.0
337,вывоза,вывозе,вывоз,вывоз,вывозу,вывозом,М,0.0
338,выделения,выделении,выделение,выделение,выделению,выделением,ср,0.0
339,выезда,выезде,выезд,выезд,выезду,выездом,М,0.0
340,выживания,выживании,выживание,выживание,выживанию,выживанием,ср,0.0
341,вызова,вызове,вызов,вызов,вызову,вызовом,М,0.0
342,выигрыша,выигрыше,выигрыш,выигрыш,выигрышу,выигрышем,М,0.0
343,вылета,вылете,вылет,вылет,вылету,вылетом,М,0.0
344,выполнения,выполнении,выполнение,выполнение,выполнению,выполнением,ср,0.0
345,выпуска,выпуске,выпуск,выпуск,выпуску,выпуском,М,0.0
346,выражения,выражении,выражение,выражение,выражению,выражением,ср,0.0
347,высказывания,высказывании,высказывание,высказывание,высказыванию,высказыванием,ср,0.0
348,выстрела,выстреле,выстрел,выстрел,выстрелу,выстрелом,М,0.0
349,выступления,выступлении,выступление,выступление,выступлению,выступлением,ср,0.0
350,выхода,выходе,выход,выход,выходу,выходом,М,0.0
351,выходного,выходном,выходной,выходной,выходному,выходным,М,0.0
352,вычисления,вычислении,вычисление,вычисление,вычислению,вычислением,ср,0.0
353,выявления,выявлении,выявление,выявление,выявлению,выявлением,ср,0.0
354,выяснения,выяснении,выяснение,выяснение,выяснению,выяснением,ср,0.0
355,гавани,гавани,гавань,гавань,гавани,гаванью,Ж,0.0
356,гада,гаде,гада,гад,гаду,гадом,М,1.0
357,гадости,гадости,гадость,гадость,гадости,гадостью,Ж,0.0
358,газпрома,газпроме,газпром,газпром,газпрому,газпромом,М,0.0
359,галереи,галерее,галерею,галерея,галерее,галереей,Ж,0.0
360,галстука,галстуке,галстук,галстук,галстуку,галстуком,М,0.0
361,гаража,гараже,гараж,гараж,гаражу,гаражом,М,0.0
362,гарантии,гарантии,гарантию,гарантия,гарантии,гарантией,Ж,0.0
363,гармонии,гармонии,гармонию,гармония,гармонии,гармонией,Ж,0.0
364,гарнизона,гарнизоне,гарнизон,гарнизон,гарнизону,гарнизоном,М,0.0
365,гвардии,гвардии,гвардию,гвардия,гвардии,гвардией,Ж,0.0
366,гвоздя,гвозде,гвоздь,гвоздь,гвоздю,гвоздем,М,0.0
367,гея,гее,гея,гей,гею,геем,М,1.0
368,гена,гене,ген,ген,гену,геном,М,0.0
369,генерала,генерале,генерала,генерал,генералу,генералом,М,1.0
370,генератора,генераторе,генератор,генератор,генератору,генератором,М,0.0
371,географии,географии,географию,география,географии,географией,Ж,0.0
372,геометрии,геометрии,геометрию,геометрия,геометрии,геометрией,Ж,0.0
373,герба,гербе,герб,герб,гербу,гербом,М,0.0
374,германа,германе,германа,герман,герману,германом,М,1.0
375,героина,героине,героин,героин,героину,героином,М,0.0
376,героини,героине,героиню,героиня,героине,героиней,Ж,1.0
377,героя,герое,героя,герой,герою,героем,М,1.0
378,герцога,герцоге,герцога,герцог,герцогу,герцогом,М,1.0
379,гибели,гибели,гибель,гибель,гибели,гибелью,Ж,0.0
380,гибкости,гибкости,гибкость,гибкость,гибкости,гибкостью,Ж,0.0
381,гиганта,гиганте,гиганта,гигант,гиганту,гигантом,М,1.0
382,гида,гиде,гида,гид,гиду,гидом,М,1.0
383,гимна,гимне,гимн,гимн,гимну,гимном,М,0.0
384,гимназии,гимназии,гимназию,гимназия,гимназии,гимназией,Ж,0.0
385,гипноза,гипнозе,гипноз,гипноз,гипнозу,гипнозом,М,0.0
386,главнокомандующего,главнокомандующем,главнокомандующего,главнокомандующий,главнокомандующему,главнокомандующим,М,1.0
387,глагола,глаголе,глагол,глагол,глаголу,глаголом,М,0.0
388,глазка,глазке,глазок,глазок,глазку,глазком,М,0.0
389,глотка,глотке,глоток,глоток,глотку,глотком,М,0.0
390,глупости,глупости,глупость,глупость,глупости,глупостью,Ж,0.0
391,глухого,глухом,глухого,глухой,глухому,глухим,М,1.0
392,гнева,гневе,гнев,гнев,гневу,гневом,М,0.0
393,гнезда,гнезде,гнездо,гнездо,гнезду,гнездом,ср,0.0
394,гнома,гноме,гнома,гном,гному,гномом,М,1.0
395,гоголя,гоголе,гоголя,гоголь,гоголю,гоголем,М,1.0
396,голода,голоде,голод,голод,голоду,голодом,М,0.0
397,голосования,голосовании,голосование,голосование,голосованию,голосованием,ср,0.0
398,голубя,голубе,голубя,голубь,голубю,голубем,М,1.0
